chr start end Salinity_32.26 Temp_8.16 Temp.Salinity_16.32.16.26 Temp.Salinity_16.32.8.26 Temp.Salinity_8.26.16.26 Temp.Salinity_8.32.16.26 Temp.Salinity_8.32.16.32 Temp.Salinity_8.32.8.26
NC_027321.1 39414473 39414497 NA NA 0.0135028587479299 NA NA NA 0.033847321424144 NA
NC_027322.1 21130122 21130211 0.000915175175450256 NA 0.00494747161404063 NA NA 0.0304927546639049 NA NA
NC_027322.1 22527536 22527589 0.0203915050877905 0.03421590678176 NA 0.0180766507135821 NA NA NA NA
NC_027322.1 23617327 23617351 NA 0.0115053728014053 NA NA 0.0364607316241223 NA NA NA
NC_027322.1 324267 324547 0.021551686378979 NA NA NA NA NA NA 0.0134077075010062
NC_027322.1 48545303 48545529 0.000208523380082037 NA NA 0.00182677802412301 NA NA NA 0.00269250498381235
NC_027324.1 10165520 10165551 0.0215479883630825 NA NA NA NA 0.0266134022433677 NA NA
NC_027324.1 6782074 6782079 NA NA 0.0406362939205231 NA NA NA 0.0325086238710171 NA
NC_027326.1 19205173 19205215 NA 0.0384449485272317 NA NA 0.0383086354434725 NA NA NA
NC_027326.1 7878120 7878137 0.00799034513324415 NA NA NA NA 0.033497322437676 NA NA
NC_027328.1 5260790 5260813 NA 0.00751185416625089 NA 0.0443761454795614 0.0288789698106368 NA NA NA
